time,latitude,longitude,700,850,1700,1900
277,41.87176948,-87.64836798,79.10489,97.83068,99.02379,92.88874
278,41.87176948,-87.64836798,78.12833,94.81506,112.7582,91.44343
279,41.87176948,-87.64836798,78.3627,98.21349,111.6879,94.57624
280,41.87176948,-87.64836798,82.19864,91.22912,97.06285,96.40437
281,41.87176948,-87.64836798,80.80801,91.33849,92.79723,101.3184
282,41.87176948,-87.64836798,81.59708,107.5338,98.97691,105.6544
283,41.87176948,-87.64836798,79.57364,96.99474,105.4691,96.66218
284,41.87176948,-87.64836798,79.29239,87.43224,91.17223,90.88874
285,41.87176948,-87.64836798,78.1752,90.98693,94.32066,103.8887
286,41.87176948,-87.64836798,78.80801,94.29943,90.8441,99.34187
287,41.87176948,-87.64836798,81.06583,98.34631,97.39098,96.16999
288,41.87176948,-87.64836798,79.47208,96.26818,86.28941,92.15437
289,41.87176948,-87.64836798,77.01895,94.48693,99.0941,95.76374
290,41.87176948,-87.64836798,77.64395,98.71349,100.4457,89.53718
291,41.87176948,-87.64836798,79.31583,103.2526,91.45348,103.8106
292,41.87176948,-87.64836798,79.3002,94.34631,107.93,89.75593
293,41.87176948,-87.64836798,78.87051,106.2213,97.14098,96.75593
294,41.87176948,-87.64836798,76.2377,100.7213,94.14879,97.78718
295,41.87176948,-87.64836798,75.69083,92.25256,87.07848,92.1778
296,41.87176948,-87.64836798,78.01114,95.31506,104.5629,87.19343
297,41.87176948,-87.64836798,78.85489,96.64318,91.72691,99.43562
298,41.87176948,-87.64836798,80.63614,95.58068,93.31285,93.88874
299,41.87176948,-87.64836798,79.63614,93.92443,95.93004,103.4434
300,41.87176948,-87.64836798,78.7377,88.17443,97.43004,91.19343
301,41.87176948,-87.64836798,77.90176,95.19787,111.9379,93.93562
302,41.87176948,-87.64836798,80.70645,90.36193,100.2504,92.84968
303,41.87176948,-87.64836798,78.40176,97.06506,93.98473,90.8028
304,41.87176948,-87.64836798,79.5502,95.33849,104.1879,89.95905
305,41.87176948,-87.64836798,78.75333,92.86974,91.96129,110.5919
306,41.87176948,-87.64836798,80.97208,98.26037,94.76598,98.26374
307,41.87176948,-87.64836798,75.15176,91.71349,100.8832,94.02937
308,41.87176948,-87.64836798,79.85489,97.13537,104.4691,90.37312
309,41.87176948,-87.64836798,76.87051,87.80724,95.10191,102.7481
310,41.87176948,-87.64836798,80.08926,96.62756,96.7816,97.02155
311,41.87176948,-87.64836798,78.96426,95.12756,98.78941,102.2481
312,41.87176948,-87.64836798,79.80801,99.21349,97.74254,96.06062
313,41.87176948,-87.64836798,78.19864,110.7526,91.93785,98.27155
314,41.87176948,-87.64836798,79.6127,90.70568,92.71129,94.54499
315,41.87176948,-87.64836798,80.50333,95.79162,92.12535,88.79499
316,41.87176948,-87.64836798,80.10489,102.5104,95.20348,98.16218
317,41.87176948,-87.64836798,78.22208,89.70568,101.9066,107.4356
318,41.87176948,-87.64836798,79.35489,99.69787,96.81285,90.01374
319,41.87176948,-87.64836798,80.1127,100.8385,92.14879,89.23249
320,41.87176948,-87.64836798,80.54239,99.94787,91.00816,96.52937
321,41.87176948,-87.64836798,78.99551,94.11193,91.13316,97.19343
322,41.87176948,-87.64836798,78.9877,93.81506,99.20348,95.89655
323,41.87176948,-87.64836798,77.8002,91.25256,101.3441,96.21687
324,41.87176948,-87.64836798,81.63614,99.74474,98.07066,89.00593
325,41.87176948,-87.64836798,79.78458,90.56506,95.50816,91.53718
326,41.87176948,-87.64836798,82.59708,93.15881,99.08629,88.59187
327,41.87176948,-87.64836798,76.97208,90.97131,91.93785,93.75593
328,41.87176948,-87.64836798,78.08926,91.63537,87.85191,86.83405
329,41.87176948,-87.64836798,78.58926,108.4557,110.93,90.72468
330,41.87176948,-87.64836798,79.18301,100.3697,94.13316,97.73249
331,41.87176948,-87.64836798,76.56583,98.93224,103.0863,112.0919
332,41.87176948,-87.64836798,78.19083,92.92443,90.4066,93.3653
333,41.87176948,-87.64836798,77.84708,101.9479,89.98473,84.56062
334,41.87176948,-87.64836798,83.1127,93.87756,113.4066,94.52937
335,41.87176948,-87.64836798,79.89395,93.81506,89.89879,91.54499
336,41.87176948,-87.64836798,78.7377,98.30724,92.89098,88.77937
337,41.87176948,-87.64836798,79.80801,97.38537,107.5863,93.02937
338,41.87176948,-87.64836798,80.12833,94.48693,89.23473,95.40437
339,41.87176948,-87.64836798,79.45645,94.74474,88.57066,100.1544
340,41.87176948,-87.64836798,80.13614,94.36193,89.53941,135.0762
341,41.87176948,-87.64836798,78.6127,90.26818,89.6566,95.52937
342,41.87176948,-87.64836798,78.15958,103.7526,92.61754,90.53718
343,41.87176948,-87.64836798,78.75333,94.06506,86.18785,90.45124
344,41.87176948,-87.64836798,78.19864,90.71349,87.4066,101.92
345,41.87176948,-87.64836798,77.57364,94.33849,95.05504,94.43562
346,41.87176948,-87.64836798,77.14395,95.65099,97.1566,102.6231
347,41.87176948,-87.64836798,80.3002,94.10412,98.85191,101.0684
348,41.87176948,-87.64836798,78.94083,98.06506,100.0863,90.82624
349,41.87176948,-87.64836798,78.30801,97.64318,90.2191,96.78718
350,41.87176948,-87.64836798,79.08145,94.50256,95.75816,90.37312
351,41.87176948,-87.64836798,78.30801,96.88537,98.57848,94.56843
352,41.87176948,-87.64836798,80.45645,92.51037,97.14098,94.12312
353,41.87176948,-87.64836798,77.78458,95.15881,96.01598,94.2403
354,41.87176948,-87.64836798,79.85489,95.79162,88.85191,100.6466
355,41.87176603,-87.64837613,79.06583,93.50256,94.4066,94.76374
356,41.87176224,-87.648385,78.44864,96.15881,89.4066,97.41218
357,41.87175419,-87.64840312,81.15958,97.25256,94.41441,98.28718
